ID,Union,Region,County,Type,BoothGroup,BoothDensity,Popn1871_2,MABI71,FABI71,ChABI71,MNotABI71,FNotABI71,ChNotABI71,MABO71,FABO71,ChABO71,MNotABO71,FNotABO71,ChNotABO71,MABI81,FABI81,ChABI81,MNotABI81,FNotABI81,ChNotABI81,MABO81,FABO81,ChABO81,MNotABO81,FNotABO81,ChNotABO81,Popn1881,popratio7181,pauper71,pauper81,paupratio7181,outratio71,outratio81,outratio7181,MABI91,FABI91,ChABI91,MNotABI91,FNotABI91,ChNotABI91,MABO91,FABO91,ChABO91,MNotABO91,FNotABO91,ChNotABO91,Popn1881_2,Popn1891,popratio8191,pauper91,pauper81_2,paupratio8191,outratio91,outratio8191,mfab71I,mfab81I,mfab91I,mfab71O,mfab81O,mfab91O,mfnotab71I,mfnotab81I,mfnotab91I,mfnotab71O,mfnotab81O,mfnotab91O,adultchab71I,adultchab81I,adultchab91I,adultchnotab71I,adultchnotab81I,adultchnotab91I,adultchab71O,adultchab81O,adultchab91O,adultchnotab71O,adultchnotab81O,adultchnotab91O,Popn1871,PopnM1871,PopnF1871,M6571,PropM6571,F6571,PropF6571,PopnM1881,PopnF1881,M6581,PropM6581,F6581,PropF6581,PopnM1891,PopnF1891,M6591,PropM6591,F6591,PropF6591
480.0,Chorlton,8.0,34.0,3.0,17.0,26.0,211384.0,57.0,107.0,75.0,365.0,386.0,252.0,276.0,926.0,2422.0,303.0,923.0,225.0,77.0,156.0,191.0,422.0,474.0,303.0,111.0,501.0,1535.0,116.0,418.0,111.0,258226.0,122.1596714983159,0.0298840025735155,0.0170974262855018,57.21263824496632,4.086151368760064,1.720271102895872,42.10003369057483,81.0,105.0,117.0,593.0,603.0,318.0,73.0,593.0,1875.0,138.0,527.0,130.0,258226.0,299865.0,116.1250222673162,0.0171843996465076,0.0170974262855018,100.5086927093787,1.8359933957072097,106.72697998684816,0.5327102803738317,0.4935897435897436,0.7714285714285715,0.2980561555075594,0.2215568862275449,0.1231028667790894,0.9455958549222798,0.890295358649789,0.9834162520729685,0.3282773564463705,0.277511961722488,0.2618595825426945,2.186666666666667,1.219895287958115,1.58974358974359,2.98015873015873,2.957095709570957,3.761006289308176,0.4962840627580512,0.3986970684039088,0.3552,5.448888888888889,4.810810810810811,5.115384615384615,211384.0,100278.0,111106.0,2316.0,0.023095793693532,3378.0,0.0304033985563336,122027.0,136199.0,2817.0,0.023085054946856,4354.0,0.0319679292799507,141723.0,158142.0,3580.0,0.0252605434544852,5520.0,0.0349053382403157
481.0,Salford,8.0,34.0,3.0,17.0,34.0,128890.0,16.0,51.0,68.0,189.0,220.0,253.0,124.0,485.0,1234.0,202.0,609.0,77.0,145.0,220.0,185.0,340.0,363.0,271.0,351.0,817.0,2220.0,114.0,488.0,51.0,181526.0,140.8379238110016,0.0273721778260532,0.0306567654220332,111.9997305908691,3.4265997490589712,2.6515748031496065,77.3820987956879,159.0,187.0,69.0,399.0,368.0,305.0,35.0,257.0,868.0,55.0,299.0,75.0,181526.0,204522.0,112.6681577294713,0.0150399468027889,0.0306567654220332,49.05914435441267,1.0685944855413585,40.30037109539793,0.3137254901960784,0.6590909090909091,0.8502673796791443,0.2556701030927835,0.4296205630354957,0.1361867704280156,0.8590909090909091,0.9366391184573003,1.084239130434783,0.3316912972085386,0.2336065573770492,0.1839464882943144,0.9852941176470589,1.972972972972973,5.014492753623189,1.616600790513834,2.59409594095941,2.514754098360656,0.493517017828201,0.5261261261261261,0.336405529953917,10.53246753246753,11.80392156862745,4.72,128890.0,61219.0,67671.0,1457.0,0.0237998007154642,2161.0,0.0319339155620576,87199.0,94327.0,1688.0,0.0193580201607817,2767.0,0.0293341249059124,98681.0,105841.0,2180.0,0.0220913853730708,3374.0,0.0318780056877769
482.0,Manchester,8.0,34.0,3.0,17.0,88.0,173988.0,155.0,299.0,196.0,769.0,822.0,841.0,755.0,1355.0,3245.0,461.0,1565.0,98.0,270.0,317.0,264.0,984.0,917.0,701.0,145.0,241.0,744.0,37.0,163.0,9.0,148794.0,85.51969101317333,0.043254600485749,0.0322055996881595,74.45589446322629,2.4266709928617782,0.38777874312192295,15.979864772051966,212.0,163.0,171.0,1178.0,856.0,592.0,70.0,132.0,372.0,20.0,108.0,1.0,148794.0,145100.0,97.51737301235265,0.0267057201929704,0.0322055996881595,82.92259871437463,0.2216267339218159,57.15288366183946,0.5183946488294314,0.8517350157728707,1.300613496932515,0.5571955719557196,0.6016597510373444,0.5303030303030303,0.9355231143552312,1.073064340239913,1.376168224299065,0.2945686900958466,0.2269938650306748,0.1851851851851852,2.316326530612245,2.223484848484849,2.192982456140351,1.89179548156956,2.711840228245364,3.435810810810811,0.650231124807396,0.5188172043010753,0.543010752688172,20.6734693877551,22.22222222222222,128.0,244159.0,116808.0,127351.0,3035.0,0.0259828093966167,4053.0,0.0318254273621723,72005.0,76789.0,1546.0,0.0214707311992223,2078.0,0.0270611676151532,70924.0,74176.0,1469.0,0.0207123117703457,2010.0,0.0270977135461605
483.0,Prestwich,8.0,34.0,3.0,17.0,13.0,77968.0,18.0,21.0,4.0,25.0,12.0,7.0,22.0,78.0,253.0,73.0,209.0,37.0,24.0,47.0,75.0,72.0,72.0,10.0,55.0,161.0,479.0,43.0,156.0,55.0,121287.0,155.5599733223887,0.0973451327433628,0.0102978884793919,10.57873998337527,7.724137931034483,3.1633333333333336,40.953869047619044,8.0,16.0,37.0,86.0,89.0,15.0,27.0,100.0,322.0,46.0,193.0,31.0,121287.0,149537.0,123.2918614525877,0.0064866889131118,0.0102978884793919,62.99047543671669,2.864541832669323,90.55453633306605,0.8571428571428571,0.5106382978723404,0.5,0.2820512820512821,0.3416149068322981,0.27,2.083333333333334,1.0,0.9662921348314607,0.3492822966507177,0.2756410256410257,0.2383419689119171,9.75,0.9466666666666667,0.6486486486486487,5.285714285714286,14.4,11.66666666666667,0.3952569169960474,0.4509394572025052,0.3944099378881988,7.621621621621622,3.618181818181818,7.709677419354839,7797.0,3574.0,4223.0,131.0,0.0366536094012311,169.0,0.0400189438787592,58321.0,62966.0,1672.0,0.0286689185713551,2156.0,0.034240701330877,71977.0,77560.0,2135.0,0.0296622532197785,2794.0,0.0360237235688499
484.0,AshtonunderLyne,8.0,34.0,3.0,15.0,4.0,130626.0,1.0,2.0,7.0,155.0,79.0,82.0,27.0,126.0,380.0,163.0,487.0,97.0,24.0,23.0,40.0,275.0,179.0,148.0,37.0,169.0,563.0,178.0,283.0,126.0,154526.0,118.2965106487223,0.0122946427204385,0.0132340188706108,107.6405323158408,3.9263803680981595,1.9680696661828738,50.12427431059506,28.0,17.0,38.0,277.0,197.0,85.0,8.0,116.0,433.0,182.0,448.0,179.0,154526.0,165076.0,106.8273300286036,0.0121640941142262,0.0132340188706108,91.91534509021582,2.127725856697819,108.11232413457208,0.5,1.043478260869565,1.647058823529412,0.2142857142857143,0.2189349112426036,0.0689655172413793,1.962025316455696,1.536312849162011,1.406091370558376,0.3347022587268994,0.6289752650176679,0.40625,0.4285714285714286,1.175,1.184210526315789,2.853658536585366,3.067567567567568,5.576470588235294,0.4026315789473684,0.3658969804618117,0.2863741339491917,6.701030927835052,3.658730158730159,3.519553072625699,130626.0,61271.0,69355.0,1987.0,0.032429697573077,2549.0,0.0367529377838656,73205.0,81321.0,2321.0,0.0317054845980466,3037.0,0.0373458270311482,77792.0,87284.0,2488.0,0.0319827231591937,3351.0,0.0383919160441776
485.0,Oldham,8.0,34.0,3.0,15.0,12.0,126982.0,16.0,15.0,23.0,184.0,131.0,73.0,51.0,165.0,449.0,204.0,492.0,86.0,12.0,57.0,78.0,227.0,172.0,97.0,51.0,262.0,670.0,202.0,357.0,88.0,168461.0,132.665259643099,0.0148761241750799,0.0134927371913974,90.70062223599929,3.273755656108597,2.5349922239502334,77.43376385528703,44.0,73.0,87.0,360.0,163.0,115.0,41.0,233.0,716.0,154.0,405.0,59.0,168461.0,201153.0,119.4062720748423,0.0121797835478467,0.0134927371913974,90.26918241327748,1.9097387173396674,75.3350917330924,1.066666666666667,0.2105263157894737,0.6027397260273972,0.3090909090909091,0.1946564885496183,0.1759656652360515,1.404580152671756,1.319767441860465,2.208588957055215,0.4146341463414634,0.5658263305322129,0.3802469135802469,1.347826086956522,0.8846153846153846,1.344827586206897,4.315068493150685,4.11340206185567,4.547826086956522,0.4810690423162584,0.4671641791044776,0.3826815642458101,8.093023255813954,6.352272727272728,9.474576271186441,126982.0,61414.0,65568.0,1722.0,0.0280392093008109,2159.0,0.0329276476329917,81008.0,87453.0,1998.0,0.0246642306932649,2591.0,0.029627342686929,96357.0,104796.0,2505.0,0.0259970733833556,3373.0,0.0321863429901905
486.0,Rochdale,8.0,34.0,3.0,17.0,4.0,109858.0,8.0,6.0,5.0,150.0,87.0,48.0,114.0,325.0,807.0,245.0,561.0,79.0,18.0,41.0,71.0,197.0,115.0,97.0,130.0,310.0,845.0,181.0,429.0,81.0,121912.0,110.9723461195361,0.0221649766061643,0.0206296344904521,93.07311646209814,7.009868421052632,3.666048237476809,52.298388746736265,58.0,67.0,12.0,153.0,55.0,40.0,48.0,163.0,432.0,169.0,411.0,55.0,121912.0,123853.0,101.5921320296607,0.0134272080611693,0.0206296344904521,65.08698962836066,3.3194805194805195,90.54655870445345,1.333333333333333,0.4390243902439024,0.8656716417910447,0.3507692307692308,0.4193548387096774,0.294478527607362,1.724137931034483,1.71304347826087,2.781818181818182,0.4367201426024955,0.4219114219114219,0.4111922141119221,2.8,0.8309859154929577,10.41666666666667,4.9375,3.216494845360825,5.2,0.5439900867410161,0.5207100591715976,0.4884259259259259,10.20253164556962,7.530864197530864,10.54545454545455,109858.0,52249.0,57609.0,1554.0,0.0297421960228904,1875.0,0.0325469978649169,57305.0,64607.0,1710.0,0.0298403280691039,2147.0,0.0332316931601839,58101.0,65752.0,1906.0,0.0328049431162975,2744.0,0.0417325708723689
487.0,Haslingden,8.0,34.0,3.0,15.0,4.0,79956.0,37.0,13.0,21.0,42.0,23.0,7.0,27.0,66.0,166.0,82.0,170.0,5.0,46.0,28.0,18.0,56.0,27.0,31.0,39.0,146.0,396.0,109.0,258.0,38.0,95293.0,119.1817999899945,0.008242033118215,0.0125087886833241,151.7682409656842,3.6083916083916083,4.786407766990291,132.64657183713405,0.0,3.0,1.0,83.0,48.0,37.0,15.0,73.0,201.0,91.0,246.0,9.0,95293.0,103408.0,108.5158406178838,0.0078040383722729,0.0125087886833241,62.38844199739976,3.691860465116279,77.1321760460399,2.846153846153846,1.642857142857143,0.0,0.4090909090909091,0.2671232876712329,0.2054794520547945,1.826086956521739,2.074074074074074,1.729166666666667,0.4823529411764706,0.4224806201550387,0.3699186991869919,2.380952380952381,4.111111111111111,3.0,9.285714285714286,2.67741935483871,3.54054054054054,0.5602409638554217,0.4671717171717172,0.4378109452736319,50.4,9.657894736842104,37.44444444444444,79956.0,38252.0,41704.0,1105.0,0.0288873784377287,1297.0,0.0311001342796854,45464.0,49829.0,1313.0,0.028879992961464,1519.0,0.0304842561560537,48869.0,54539.0,1469.0,0.0300599562094579,1950.0,0.0357542309173252
488.0,Burnley,8.0,34.0,3.0,15.0,2.0,87809.0,0.0,3.0,1.0,32.0,19.0,25.0,48.0,131.0,368.0,273.0,508.0,61.0,10.0,29.0,30.0,118.0,58.0,37.0,79.0,293.0,833.0,287.0,591.0,91.0,118334.0,134.7629514058924,0.0167294924210502,0.0207548126489428,124.0612215038135,17.3625,7.709219858156028,44.40155425863803,31.0,55.0,32.0,102.0,78.0,101.0,48.0,178.0,558.0,215.0,515.0,94.0,118334.0,165279.0,139.6716074839015,0.0121431034795709,0.0207548126489428,58.50741071463941,4.030075187969925,52.27604429657401,0.0,0.3448275862068966,0.5636363636363636,0.366412213740458,0.2696245733788396,0.2696629213483146,1.684210526315789,2.03448275862069,1.307692307692308,0.5374015748031497,0.4856175972927242,0.4174757281553398,3.0,1.3,2.6875,2.04,4.756756756756757,1.782178217821782,0.4864130434782609,0.446578631452581,0.4050179211469534,12.80327868852459,9.648351648351648,7.76595744680851,87809.0,42716.0,45093.0,1361.0,0.0318615975278584,1521.0,0.0337302907324862,57319.0,61015.0,1651.0,0.028803712556046,1871.0,0.0306645906744243,79185.0,86094.0,1991.0,0.0251436509439919,2495.0,0.0289799521453295
489.0,Clitheroe,8.0,34.0,1.0,11.0,0.19,21081.0,2.0,3.0,4.0,36.0,10.0,8.0,4.0,22.0,72.0,87.0,138.0,33.0,0.0,3.0,7.0,50.0,6.0,19.0,10.0,39.0,134.0,50.0,119.0,39.0,23502.0,111.484274939519,0.0198757174707082,0.0202535954386861,101.9012041629931,5.650793650793651,4.6,81.40449438202246,1.0,3.0,5.0,47.0,8.0,14.0,6.0,20.0,93.0,47.0,114.0,41.0,23502.0,23208.0,98.7490426346694,0.0171923474663909,0.0202535954386861,84.88540969645355,4.115384615384615,89.4648829431438,0.6666666666666666,0.0,0.3333333333333333,0.1818181818181818,0.2564102564102564,0.3,3.6,8.333333333333334,5.875,0.6304347826086957,0.4201680672268908,0.412280701754386,1.25,0.4285714285714286,0.8,5.75,2.947368421052631,3.928571428571428,0.3611111111111111,0.3656716417910448,0.2795698924731183,6.818181818181818,4.333333333333333,3.926829268292683,21081.0,10544.0,10537.0,585.0,0.0554817905918058,592.0,0.0561829742811047,11831.0,11671.0,543.0,0.0458963739328882,602.0,0.0515808414017651,11439.0,11769.0,622.0,0.0543753824635021,614.0,0.0521709576004758
