ori,group,year,pop,agency_name,m_emp,f_emp,emp,sworn,civil
AL04203,7,4.0,764.0,COURTLAND,4.0,0.0,4.0,4.0,0.0
AL04204,7,4.0,593.0,HILLSBORO,2.0,0.0,2.0,2.0,0.0
AL04300,9B,4.0,47138.0,LEE,91.0,34.0,125.0,56.0,69.0
AL04301,4,4.0,47230.0,AUBURN,94.0,8.0,102.0,96.0,6.0
AL04302,5,4.0,23762.0,OPELIKA,74.0,24.0,98.0,71.0,27.0
AL04303,7,4.0,0.0,AUBURN UNIV: MAIN CAMPUS,27.0,15.0,42.0,20.0,22.0
AL04400,9B,4.0,46617.0,LIMESTONE,66.0,26.0,92.0,36.0,56.0
AL04401,5,4.0,19999.0,ATHENS,40.0,11.0,51.0,40.0,11.0
AL04402,7,4.0,1087.0,ARDMORE,8.0,3.0,11.0,7.0,4.0
AL04403,7,4.0,478.0,ELKMONT,1.0,1.0,2.0,1.0,1.0
AL04500,9C,4.0,11177.0,LOWNDES,10.0,28.0,38.0,11.0,27.0
AL04501,7,4.0,1265.0,FORT DEPOSIT,6.0,0.0,6.0,6.0,0.0
AL04502,7,4.0,1186.0,HAYNEVILLE,3.0,0.0,3.0,3.0,0.0
AL04504,7,4.0,1098.0,MOSSES,3.0,0.0,3.0,3.0,0.0
AL04507,7,4.0,0.0,2ND JUD CIRCUIT DRUG T F,2.0,1.0,3.0,2.0,1.0
AL04600,8C,4.0,10665.0,MACON,24.0,12.0,36.0,21.0,15.0
AL04601,5,4.0,11738.0,TUSKEGEE,30.0,11.0,41.0,29.0,12.0
AL04602,7,4.0,886.0,NOTASULGA,3.0,3.0,6.0,3.0,3.0
AL04606,7,4.0,340.0,SHORTER,5.0,6.0,11.0,5.0,6.0
AL04700,9B,4.0,87422.0,MADISON,224.0,68.0,292.0,123.0,169.0
AL04701,2,4.0,165311.0,HUNTSVILLE,341.0,108.0,449.0,337.0,112.0
AL04702,4,4.0,34303.0,MADISON,56.0,21.0,77.0,56.0,21.0
AL04703,7,4.0,891.0,GURLEY,4.0,0.0,4.0,4.0,0.0
AL04704,6,4.0,2792.0,NEW HOPE,7.0,1.0,8.0,7.0,1.0
AL04705,7,4.0,1201.0,OWENS CROSSROADS,2.0,1.0,3.0,3.0,0.0
AL04706,7,4.0,482.0,TRIANA,1.0,0.0,1.0,1.0,0.0
AL04707,7,4.0,0.0,UNIV OF AL: HUNTSVILLE,8.0,4.0,12.0,8.0,4.0
AL04708,7,4.0,0.0,ALABAMA A&M UNIVERSITY,13.0,3.0,16.0,13.0,3.0
AL04709,7,4.0,0.0,HUNTSVILLE INTNL AIRPORT,19.0,5.0,24.0,19.0,5.0
AL04711,7,4.0,0.0,MADISON-MORGAN CO S CD T,0.0,0.0,0.0,0.0,0.0
AL04800,8C,4.0,12158.0,MARENGO,18.0,7.0,25.0,11.0,14.0
AL04801,6,4.0,7420.0,DEMOPOLIS,19.0,3.0,22.0,19.0,3.0
AL04802,7,4.0,2390.0,LINDEN,6.0,0.0,6.0,6.0,0.0
AL04803,7,4.0,382.0,THOMASTON,1.0,0.0,1.0,1.0,0.0
AL04804,7,4.0,87.0,FAUNSDALE,0.0,0.0,0.0,0.0,0.0
AL04805,7,4.0,137.0,MYRTLEWOOD,0.0,0.0,0.0,0.0,0.0
AL04900,8C,4.0,14437.0,MARION,21.0,8.0,29.0,15.0,14.0
